date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:45	56801/56801	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2003:57:20%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5b345c9f839c8-IMG_2127.JPG	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5b345c9f839c8-IMG_2127.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:45	282990/282990	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/hero5.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/hero5.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:46	51360/51360	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2003:41:14%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5b3458d95444a-IMG_2126.JPG	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5b3458d95444a-IMG_2126.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:46	33844/33844	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:02:10%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8ba2090db-45.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8ba2090db-45.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:46	40496/40496	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:02:00%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b98902db-44.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b98902db-44.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:47	70568/70568	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:53%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b9146508-43.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b9146508-43.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:47	43709/43709	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:41%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b8539b6a-41.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b8539b6a-41.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:47	52382/52382	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:32%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b7c8f59d-40.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b7c8f59d-40.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:48	1379/1379	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/gotop.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/gotop.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:48	267193/267193	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/firstLoad.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/firstLoad.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:48	411155/411155	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/3.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/3.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:48	84245/84245	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/jquery-2.1.1.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/jquery-2.1.1.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:48	57796/57796	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/navbar.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/navbar.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:49	732/732	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/gallery.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/gallery.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:49	8722/8722	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4853-2212%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.js	E:/Rk/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:50	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Dec%202019%2004:11:42%20GMT	https://www.alliancelaptoptraining.com.np/front/js/jquery.min.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/jquery.min.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:50	37045/37045	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/kitenepal.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/kitenepal.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:50	14244/14244	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/aos.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/aos.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:51	81/81	---M--	200	added ('OK')	application/javascript	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/js/notice.js	E:/Rk/www.alliancelaptoptraining.com.np/front/js/notice.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:51	8015/8015	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/background.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/background.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
21:55:52	116327/116327	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Sep%202015%2019:30:13%20GMT	https://tctechcrunch2011.files.wordpress.com/2015/09/shutterstock_286900829.jpg	E:/Rk/tctechcrunch2011.files.wordpress.com/2015/09/shutterstock_286900829.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
21:55:53	2541/2541	---M--	200	added ('OK')	image/png	etag:%22vfa%22	https://3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	E:/Rk/3.bp.blogspot.com/-GZOBULN1Q4s/VbNxQrf37EI/AAAAAAAAAPk/rak337seJ70/s1600/Ask.png	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
21:55:53	975825/975825	---M--	200	added ('OK')	image/jpeg	etag:%2213a6d1512787fd40%22	https://i0.wp.com/www.tech-coffee.net/wp-content/uploads/2017/01/cpu-images.jpg?fit=2560%2C1600&ssl=1	E:/Rk/i0.wp.com/www.tech-coffee.net/wp-content/uploads/2017/01/cpu-imagesf36b.jpg	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
21:55:54	832/832	---M--	404	error ('Not%20Found')	image/png	date:Sat,%2014%20Dec%202019%2004:11:47%20GMT	https://1.bp.blogspot.com/-UR9I7YEuEUY/VXIJn8MrBPI/AAAAAAAAKRE/qZObHBd5zIo/s1600/rocket.png	E:/Rk/1.bp.blogspot.com/-UR9I7YEuEUY/VXIJn8MrBPI/AAAAAAAAKRE/qZObHBd5zIo/s1600/rocket.45.delayed	(from https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css)
21:55:58	34262/34262	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:49%20GMT	https://www.alliancelaptoptraining.com.np/course/index.html	E:/Rk/www.alliancelaptoptraining.com.np/course/index.html	(from https://www.alliancelaptoptraining.com.np/course/1)
21:56:01	41989/41989	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:01:01%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b5d47f38-39.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b5d47f38-39.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:02	41518/41518	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:53%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b55ac95f-38.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b55ac95f-38.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:02	51500/51500	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:46%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b4ea48aa-37.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b4ea48aa-37.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:03	41047/41047	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:38%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b4607c46-36.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b4607c46-36.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:03	53073/53073	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:30%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b3e0b248-35.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b3e0b248-35.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:04	53073/53073	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:20%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b349a121-35.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b349a121-35.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:04	42615/42615	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:10%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b2a946bd-34.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b2a946bd-34.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:04	38435/38435	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2009:59:51%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b177a0c3-32.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b177a0c3-32.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:04	56282/56282	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2010:00:02%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b226e5b2-33.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b226e5b2-33.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:05	51090/51090	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2009:59:42%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b0ea2003-31.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b0ea2003-31.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:05	44278/44278	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2009:59:35%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8b0733a7e-30.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8b0733a7e-30.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:05	37701/37701	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2009:59:28%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8affea3a1-28.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8affea3a1-28.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
21:56:05	41662/41662	---M--	200	added ('OK')	image/jpeg	date:Tue,%2010%20Apr%202018%2009:59:14%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5acc8af2b1a6c-27.jpg	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5acc8af2b1a6c-27.jpg	(from https://www.alliancelaptoptraining.com.np/gallery)
